source;banned;id
icosahedron.website;inditoot.com;355
icosahedron.website;inferencium.net;356
icosahedron.website;isleo.space;357
icosahedron.website;itmslaves.com;358
icosahedron.website;jaeger.website;359
icosahedron.website;jeder.pl;360
icosahedron.website;jigglypuff.club;361
icosahedron.website;jmizzle.com;362
icosahedron.website;jpop.club;363
icosahedron.website;juche.town;364
icosahedron.website;justicewarrior.social;365
icosahedron.website;kag.social;366
icosahedron.website;kawa-kun.com;367
icosahedron.website;kawen.space;368
icosahedron.website;kazvam.com;369
icosahedron.website;keinpfusch.net;370
icosahedron.website;kenhbit.com;371
icosahedron.website;kink.town;372
icosahedron.website;kitsunemimi.club;373
icosahedron.website;kiwifarms.cc;374
icosahedron.website;kiwifarms.net;375
icosahedron.website;kompost.cz;376
icosahedron.website;kys.moe;377
icosahedron.website;lain.church;378
icosahedron.website;lain.com;379
icosahedron.website;lansky.name;380
icosahedron.website;lanue*********a.es;381
icosahedron.website;leafposter.club;382
icosahedron.website;liberdon.com;383
icosahedron.website;libreha.sh;384
icosahedron.website;librem.one;385
icosahedron.website;libre.video;386
icosahedron.website;ligma.pro;387
icosahedron.website;liker.social;388
icosahedron.website;liveview.cf;389
icosahedron.website;lolicon.rocks;390
icosahedron.website;lolison.top;391
icosahedron.website;lord.sh;392
icosahedron.website;lor.sh;393
icosahedron.website;lovingexpressions.net;394
icosahedron.website;lukesmith.xyz;395
icosahedron.website;mahodou.moe;396
icosahedron.website;manalejandro.com;397
icosahedron.website;marsey.club;398
icosahedron.website;masochi.st;399
icosahedron.website;masthead.social;400
icosahedron.website;mastodon.digitalsuccess.dev;401
icosahedron.website;mastodon.green;402
icosahedron.website;mastodon.org.uk;403
icosahedron.website;mastodon.party.at;404
icosahedron.website;masto.waytt.cf;405
icosahedron.website;mentality.rip;406
hostux.social;baraag.net;407
hostux.social;freespeechextremist.com;408
hostux.social;gab.com;409
icosahedron.website;m.gretaoto.ca;410
icosahedron.website;micca.xyz;411
icosahedron.website;microkod.xyz;412
icosahedron.website;midwaytrades.com;413
icosahedron.website;milker.cafe;414
hostux.social;liberdon.com;415
hostux.social;pawoo.net;416
hostux.social;poa.st;417
hostux.social;kesma.co;418
hostux.social;newjack.city;419
icosahedron.website;mingxingsex.com;420
icosahedron.website;ministry.moonbutt.science;421
icosahedron.website;miniwa.moe;422
icosahedron.website;misandry.city;423
icosahedron.website;misono-ya.info;424
icosahedron.website;mobile.co;425
hostux.social;cokina.co;432
hostux.social;freefedifollowers.ga;433
